========================================================================================================================
QUARTERLY UTILISATION & CAPACITY REPORT: 2025 Q2 (Apr 2025 - Jun 2025)
========================================================================================================================
S.No.  Particulars      Installed Capacity  Utilised capacity  Highest Peak load observed during the quarter  No. of instances and dates when utilisation has gone beyond 70% of installed capacity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1      172.16.1.122     8 Core              98.00%             98%(CPU)                                       01- Instances in Apr 2025                                                            
2      192.168.1.22     244.24 GB           219.82 GB          90%(Disk)                                      01- Instances in Apr 2025                                                            
3      192.168.1.23     11.72 GB            11.13 GB           95%(Memory)                                    01- Instances in Apr 2025                                                            
4      192.168.1.125    184.98 GB           175.73 GB          95%(Disk)                                      01- Instances in Apr 2025                                                            
5      192.168.15.54    8 Core              98.00%             98%(CPU)                                       01- Instances in Apr 2025                                                            
6      192.168.15.112   178.58 GB           160.72 GB          90%(Disk)                                      01- Instances in Apr 2025                                                            
7      192.168.15.123   4 Core              98.00%             98%(CPU)                                       01- Instances in Apr 2025                                                            
8      192.168.15.124   3.81 GB             3.62 GB            95%(Memory)                                    01- Instances in Apr 2025                                                            
9      192.168.15.125   88.03 GB            83.63 GB           95%(Disk)                                      01- Instances in Apr 2025                                                            
10     192.168.15.126   88.03 GB            79.23 GB           90%(Disk)                                      01- Instances in Apr 2025                                                            
11     192.168.15.127   12 Core             98.00%             98%(CPU)                                       01- Instances in Apr 2025                                                            
12     192.168.176.71   31.31 GB            29.74 GB           95%(Memory)                                    01- Instances in Apr 2025                                                            
13     192.168.176.72   8 Core              98.00%             98%(CPU)                                       01- Instances in Apr 2025                                                            
14     192.168.176.114  463.77 GB           440.58 GB          95%(Disk)                                      01- Instances in Apr 2025                                                            
15     192.168.176.139  424.15 GB           381.73 GB          90%(Disk)                                      01- Instances in Apr 2025                                                            
16     192.168.176.142  78.01 GB            74.11 GB           95%(Memory)                                    01- Instances in Apr 2025                                                            
17     192.168.176.144  424.15 GB           402.94 GB          95%(Disk)                                      01- Instances in Apr 2025                                                            
18     172.16.0.79      893.62 GB           804.26 GB          90%(Disk)                                      103- Instances in May 2025                                                           
19     172.16.0.94      5.82 TB             5.24 TB            90%(Disk)                                      567- Instances in May 2025                                                           
20     172.16.0.95      2.91 TB, 5.82 TB    5.24 TB            90%(Disk)                                      656- Instances in May 2025                                                           
21     172.16.0.166     2.00 TB, 5.50 TB    4.95 TB            90%(Disk)                                      572- Instances in May 2025                                                           
22     172.16.0.170     112.37 GB           101.13 GB          90%(Disk)                                      24- Instances in May 2025                                                            
23     172.16.0.182     1.75 TB             1.57 TB            90%(Disk)                                      106- Instances in May 2025                                                           
24     172.16.0.189     32.00 GB            28.82 GB           90%(Memory)                                    02- Instances in May 2025                                                            
25     172.16.0.196     2.50 TB             2.25 TB            90%(Disk)                                      24- Instances in May 2025                                                            
26     172.16.0.204     72.00 GB            71.75 GB           90%(Memory)                                    02- Instances in May 2025                                                            
27     172.16.0.217     N/A                 90.00%             90%(Disk)                                      41- Instances in May 2025                                                            
28     172.16.0.251     N/A                 90.00%             90%(Disk)                                      140- Instances in May 2025                                                           
29     172.16.0.251     N/A                 90.07%             90%(Memory)                                    34- Instances in May 2025                                                            
30     172.16.1.139     23.61 GB            21.25 GB           90%(Memory)                                    88- Instances in May 2025                                                            
31     172.16.1.139     4 Core              90.93%             90%(CPU)                                       02- Instances in May 2025                                                            
32     172.16.2.170     1.07 TB             990.00 GB          90%(Disk)                                      73- Instances in May 2025                                                            
33     172.16.2.171     32.00 GB            30.62 GB           95%(Memory)                                    02- Instances in May 2025                                                            
34     172.16.2.192     64.00 GB            62.26 GB           95%(Memory)                                    23- Instances in May 2025                                                            
35     192.168.1.31     N/A                 96.26%             90%(CPU)                                       02- Instances in May 2025                                                            
36     192.168.1.36     292.97 GB           263.67 GB          90%(Disk)                                      11- Instances in May 2025                                                            
37     192.168.15.112   8 Core              91.35%             90%(CPU)                                       02- Instances in May 2025                                                            
38     192.168.176.106  N/A                 72.73%             70%(CPU)                                       02- Instances in May 2025                                                            
39     172.16.0.79      893.62 GB           804.26 GB          90%(Disk)                                      103- Instances in Jun 2025                                                           
40     172.16.0.94      5.82 TB             5.24 TB            90%(Disk)                                      712- Instances in Jun 2025                                                           
41     172.16.0.95      2.91 TB, 5.82 TB    5.24 TB            90%(Disk)                                      1010- Instances in Jun 2025                                                          
