========================================================================================================================
QUARTERLY UTILISATION & CAPACITY REPORT: 2026 Q2 (Apr 2026 - Jun 2026)
========================================================================================================================
S.No.  Particulars      Installed Capacity             Utilised capacity  Highest Peak load observed during the quarter  No. of instances and dates when utilisation has gone beyond 70% of installed capacity
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1      10.0.60.3        31.88 GB                       31.43 GB           90%(Memory)                                    10- Instances in Apr 2026                                                            
2      10.0.60.4        31.83 GB                       31.40 GB           90%(Memory)                                    16- Instances in Apr 2026                                                            
3      10.0.60.5        31.66 GB                       30.86 GB           90%(Memory)                                    17- Instances in Apr 2026                                                            
4      10.0.60.5        8 Core                         N/A                70%(CPU)                                       04- Instances in Apr 2026                                                            
5      10.0.60.12       N/A                            98.58%             90%(Memory)                                    36- Instances in Apr 2026                                                            
6      10.0.60.48       31.79 GB                       31.10 GB           90%(Memory)                                    02- Instances in Apr 2026                                                            
7      10.0.60.65       6 Core                         N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
8      172.16.0.94      64 Core                        N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
9      172.16.0.95      2.91 TB                        2.62 TB            90%(Disk)                                      14- Instances in Apr 2026                                                            
10     172.16.0.105     1.45 TB                        1.31 TB            90%(Disk)                                      199- Instances in Apr 2026                                                           
11     172.16.0.106     16 Core                        N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
12     172.16.0.116     1.75 TB, 208.43 GB, 893.75 GB  1.57 TB            90%(Disk)                                      860- Instances in Apr 2026                                                           
13     172.16.0.130     499.98 GB                      449.98 GB          90%(Disk)                                      13- Instances in Apr 2026                                                            
14     172.16.0.166     2.00 TB, 5.50 TB               4.95 TB            90%(Disk)                                      18- Instances in Apr 2026                                                            
15     172.16.0.166     16 Core                        N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
16     172.16.0.172     32.00 GB                       31.88 GB           90%(Memory)                                    69- Instances in Apr 2026                                                            
17     172.16.0.177     498.42 GB                      448.58 GB          90%(Disk)                                      30- Instances in Apr 2026                                                            
18     172.16.0.181     63.96 GB                       62.61 GB           95%(Memory)                                    21- Instances in Apr 2026                                                            
19     172.16.0.181     1.75 TB                        1.57 TB            90%(Disk)                                      05- Instances in Apr 2026                                                            
20     172.16.0.182     1.75 TB                        1.57 TB            90%(Disk)                                      46- Instances in Apr 2026                                                            
21     172.16.0.189     8 Core                         98.39%             90%(CPU)                                       02- Instances in Apr 2026                                                            
22     172.16.0.196     16 Core                        98.38%             70%(CPU)                                       02- Instances in Apr 2026                                                            
                                                                          90%(CPU)                                       02- Instances in Apr 2026                                                            
23     172.16.0.209     6 Core                         N/A                70%(CPU)                                       06- Instances in Apr 2026                                                            
24     172.16.0.251     N/A                            90.00%             90%(Disk)                                      548- Instances in Apr 2026                                                           
25     172.16.0.251     N/A                            90.05%             90%(Memory)                                    49- Instances in Apr 2026                                                            
26     172.16.1.6       1.75 TB                        1.57 TB            90%(Disk)                                      18- Instances in Apr 2026                                                            
27     172.16.1.69      8 Core                         N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
28     172.16.1.104     224.30 GB                      201.87 GB          90%(Disk)                                      154- Instances in Apr 2026                                                           
29     172.16.1.139     23.61 GB                       21.25 GB           90%(Memory)                                    260- Instances in Apr 2026                                                           
30     172.16.1.139     4 Core                         90.47%             90%(CPU)                                       36- Instances in Apr 2026                                                            
31     172.16.1.237     N/A                            90.15%             90%(Memory)                                    38- Instances in Apr 2026                                                            
32     172.16.2.98      32.00 GB                       31.89 GB           90%(Memory)                                    02- Instances in Apr 2026                                                            
33     172.16.2.191     16 Core                        N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
34     172.16.2.191     32.00 GB                       30.49 GB           90%(Memory)                                    30- Instances in Apr 2026                                                            
35     172.16.2.192     64.00 GB                       63.94 GB           95%(Memory)                                    32- Instances in Apr 2026                                                            
36     172.16.2.192     149.40 GB                      134.46 GB          90%(Disk)                                      14- Instances in Apr 2026                                                            
37     172.16.14.189    8 Core                         N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
38     192.168.1.35     24 Core                        N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
39     192.168.1.36     292.97 GB                      234.37 GB          80%(Disk)                                      38- Instances in Apr 2026                                                            
40     192.168.1.42     N/A                            N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
41     192.168.1.52     N/A                            N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
42     192.168.1.54     N/A                            N/A                70%(CPU)                                       04- Instances in Apr 2026                                                            
43     192.168.1.74     N/A                            N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
44     192.168.1.85     8 Core                         N/A                70%(CPU)                                       04- Instances in Apr 2026                                                            
45     192.168.1.96     N/A                            N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
46     192.168.1.96     N/A                            81.31%             80%(Memory)                                    02- Instances in Apr 2026                                                            
47     192.168.1.158    N/A                            N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
48     192.168.1.158    N/A                            80.05%             80%(Memory)                                    90- Instances in Apr 2026                                                            
49     192.168.1.158    149.51 GB                      119.61 GB          80%(Disk)                                      03- Instances in Apr 2026                                                            
50     192.168.1.202    N/A                            N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
51     192.168.15.112   8 Core                         93.67%             90%(CPU)                                       02- Instances in Apr 2026                                                            
52     192.168.15.128   32 Core                        N/A                70%(CPU)                                       40- Instances in Apr 2026                                                            
53     192.168.176.239  N/A                            N/A                70%(CPU)                                       02- Instances in Apr 2026                                                            
54     10.0.60.3        31.88 GB                       31.20 GB           90%(Memory)                                    02- Instances in May 2026                                                            
55     10.0.60.4        31.83 GB                       31.57 GB           90%(Memory)                                    12- Instances in May 2026                                                            
56     10.0.60.5        31.66 GB                       29.94 GB           90%(Memory)                                    02- Instances in May 2026                                                            
57     10.0.60.8        8 Core                         N/A                70%(CPU)                                       02- Instances in May 2026                                                            
58     10.0.60.8        232.04 GB                      208.84 GB          90%(Disk)                                      02- Instances in May 2026                                                            
59     10.0.60.12       N/A                            97.29%             90%(Memory)                                    29- Instances in May 2026                                                            
60     172.16.0.79      40 Core                        99.53%             90%(CPU)                                       02- Instances in May 2026                                                            
61     172.16.0.94      2.91 TB                        2.62 TB            90%(Disk)                                      08- Instances in May 2026                                                            
62     172.16.0.95      2.91 TB, 5.82 TB               5.24 TB            90%(Disk)                                      798- Instances in May 2026                                                           
63     172.16.0.116     208.43 GB, 893.75 GB           804.37 GB          90%(Disk)                                      101- Instances in May 2026                                                           
64     172.16.0.118     24.00 GB                       21.94 GB           90%(Memory)                                    16- Instances in May 2026                                                            
65     172.16.0.166     2.00 TB, 5.50 TB               4.95 TB            90%(Disk)                                      751- Instances in May 2026                                                           
66     172.16.0.172     32.00 GB                       31.50 GB           90%(Memory)                                    140- Instances in May 2026                                                           
67     172.16.0.172     199.40 GB                      179.46 GB          90%(Disk)                                      07- Instances in May 2026                                                            
68     172.16.0.181     1.75 TB                        1.57 TB            90%(Disk)                                      08- Instances in May 2026                                                            
69     172.16.0.181     40 Core                        N/A                70%(CPU)                                       02- Instances in May 2026                                                            
70     172.16.0.182     1.75 TB                        1.57 TB            90%(Disk)                                      14- Instances in May 2026                                                            
71     172.16.0.204     72.00 GB                       71.39 GB           90%(Memory)                                    02- Instances in May 2026                                                            
72     172.16.0.209     8.00 GB                        7.68 GB            90%(Memory)                                    02- Instances in May 2026                                                            
73     172.16.0.209     6 Core                         95.55%             90%(CPU)                                       04- Instances in May 2026                                                            
74     172.16.1.6       1.75 TB                        1.57 TB            90%(Disk)                                      31- Instances in May 2026                                                            
75     172.16.1.69      999.98 GB                      899.98 GB          90%(Disk)                                      32- Instances in May 2026                                                            
76     172.16.1.139     23.61 GB                       21.25 GB           90%(Memory)                                    278- Instances in May 2026                                                           
77     172.16.1.139     4 Core                         91.40%             90%(CPU)                                       54- Instances in May 2026                                                            
78     172.16.1.204     7.72 GB                        6.95 GB            90%(Memory)                                    02- Instances in May 2026                                                            
79     172.16.2.98      12 Core                        N/A                70%(CPU)                                       02- Instances in May 2026                                                            
80     172.16.2.170     1.07 TB                        990.00 GB          90%(Disk)                                      02- Instances in May 2026                                                            
81     172.16.2.192     64.00 GB                       63.62 GB           95%(Memory)                                    18- Instances in May 2026                                                            
82     172.16.2.192     149.40 GB                      134.46 GB          90%(Disk)                                      02- Instances in May 2026                                                            
83     192.168.1.36     292.97 GB                      234.37 GB          80%(Disk)                                      58- Instances in May 2026                                                            
84     192.168.1.36     N/A                            80.34%             80%(Memory)                                    02- Instances in May 2026                                                            
85     192.168.1.158    N/A                            80.51%             80%(Memory)                                    02- Instances in May 2026                                                            
86     192.168.15.128   32 Core                        N/A                70%(CPU)                                       18- Instances in May 2026                                                            
87     192.168.176.127  N/A                            N/A                70%(CPU)                                       02- Instances in May 2026                                                            
88     192.168.176.238  N/A                            N/A                70%(CPU)                                       02- Instances in May 2026                                                            
89     10.0.60.4        31.83 GB                       31.28 GB           90%(Memory)                                    06- Instances in Jun 2026                                                            
90     10.0.60.9        4 Core                         99.70%             70%(CPU)                                       02- Instances in Jun 2026                                                            
                                                                          90%(CPU)                                       02- Instances in Jun 2026                                                            
91     10.0.60.12       N/A                            96.67%             90%(Memory)                                    35- Instances in Jun 2026                                                            
92     172.16.0.95      2.91 TB                        2.62 TB            90%(Disk)                                      754- Instances in Jun 2026                                                           
93     172.16.0.105     700.39 GB                      630.35 GB          90%(Disk)                                      02- Instances in Jun 2026                                                            
94     172.16.0.116     208.43 GB, 893.75 GB           804.37 GB          90%(Disk)                                      89- Instances in Jun 2026                                                            
95     172.16.0.116     40 Core                        N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
96     172.16.0.118     24.00 GB                       21.97 GB           90%(Memory)                                    04- Instances in Jun 2026                                                            
97     172.16.0.166     2.00 TB, 5.50 TB               4.95 TB            90%(Disk)                                      743- Instances in Jun 2026                                                           
98     172.16.0.172     32.00 GB                       31.22 GB           90%(Memory)                                    65- Instances in Jun 2026                                                            
99     172.16.0.181     1.75 TB                        1.57 TB            90%(Disk)                                      08- Instances in Jun 2026                                                            
100    172.16.0.182     1.75 TB                        1.57 TB            90%(Disk)                                      38- Instances in Jun 2026                                                            
101    172.16.0.189     8 Core                         94.18%             90%(CPU)                                       02- Instances in Jun 2026                                                            
102    172.16.0.196     2.93 TB                        2.64 TB            90%(Disk)                                      62- Instances in Jun 2026                                                            
103    172.16.0.196     16 Core                        95.29%             90%(CPU)                                       02- Instances in Jun 2026                                                            
104    172.16.0.204     72.00 GB                       68.42 GB           90%(Memory)                                    02- Instances in Jun 2026                                                            
105    172.16.0.209     6 Core                         95.51%             90%(CPU)                                       20- Instances in Jun 2026                                                            
106    172.16.1.69      999.98 GB                      899.98 GB          90%(Disk)                                      53- Instances in Jun 2026                                                            
107    172.16.1.135     77.15 GB                       69.44 GB           90%(Disk)                                      05- Instances in Jun 2026                                                            
108    172.16.1.139     23.61 GB                       21.25 GB           90%(Memory)                                    216- Instances in Jun 2026                                                           
109    172.16.1.139     4 Core                         92.64%             90%(CPU)                                       28- Instances in Jun 2026                                                            
110    172.16.2.98      32.00 GB                       31.47 GB           90%(Memory)                                    02- Instances in Jun 2026                                                            
111    172.16.2.191     32.00 GB                       31.83 GB           90%(Memory)                                    02- Instances in Jun 2026                                                            
112    172.16.2.192     64.00 GB                       63.53 GB           95%(Memory)                                    24- Instances in Jun 2026                                                            
113    172.16.2.192     149.40 GB                      134.46 GB          90%(Disk)                                      18- Instances in Jun 2026                                                            
114    192.168.1.36     292.97 GB                      234.37 GB          80%(Disk)                                      70- Instances in Jun 2026                                                            
115    192.168.1.96     N/A                            80.32%             80%(Memory)                                    02- Instances in Jun 2026                                                            
116    192.168.1.158    N/A                            80.10%             80%(Memory)                                    18- Instances in Jun 2026                                                            
117    192.168.15.51    24 Core                        91.66%             90%(CPU)                                       08- Instances in Jun 2026                                                            
118    192.168.15.54    15.62 GB                       14.06 GB           90%(Memory)                                    02- Instances in Jun 2026                                                            
119    192.168.15.128   32 Core                        N/A                70%(CPU)                                       04- Instances in Jun 2026                                                            
120    192.168.176.119  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
121    192.168.176.127  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
122    192.168.176.145  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
123    192.168.176.228  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
124    192.168.176.231  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
125    192.168.176.237  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
126    192.168.176.239  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
127    192.168.176.240  N/A                            N/A                70%(CPU)                                       02- Instances in Jun 2026                                                            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

