S.No.,Particulars,Installed Capacity,Utilised capacity,Highest Peak load observed during the quarter,No. of instances and dates when utilisation has gone beyond Severity of installed capacity
1,192.168.1.141,N/A,N/A,Critical - Instance Down(Other),"04- Instances in Jul 2026, 02- Instances in Aug 2026"
2,192.168.1.143,299.85 GB,149.93 GB,50%(Disk),03- Instances in Jul 2026
3,192.168.1.143,N/A,N/A,Critical - Instance Down(Other),"06- Instances in Jul 2026, 04- Instances in Aug 2026"
4,192.168.1.144,146.48 GB,142.09 GB,97%(Disk),394- Instances in Jul 2026
5,192.168.1.144,146.48 GB,87.89 GB,60%(Disk),30- Instances in Jul 2026
6,192.168.1.144,146.48 GB,95.21 GB,65%(Disk),08- Instances in Jul 2026
7,192.168.1.144,146.48 GB,117.19 GB,80%(Disk),02- Instances in Jul 2026
8,192.168.1.144,N/A,N/A,Critical - Instance Down(Other),"02- Instances in Jul 2026, 06- Instances in Aug 2026"
9,192.168.1.145,354.23 GB,241.19 GB,68%(Disk),51- Instances in Jul 2026
10,192.168.1.145,354.23 GB,212.54 GB,60%(Disk),51- Instances in Jul 2026
11,192.168.1.145,354.23 GB,230.25 GB,65%(Disk),51- Instances in Jul 2026
12,192.168.1.155,16 Core,67.62%,67%(CPU),02- Instances in Aug 2026
13,192.168.1.155,299.98 GB,187.31 GB,62%(Disk),"195- Instances in Jul 2026, 80- Instances in Aug 2026"
14,192.168.1.155,299.98 GB,179.99 GB,60%(Disk),"20- Instances in Jul 2026, 14- Instances in Aug 2026"
15,192.168.1.155,64.00 GB,45.46 GB,71%(Memory),78- Instances in Jul 2026
16,192.168.1.155,64.00 GB,45.44 GB,71%(Memory),"125- Instances in Jul 2026, 02- Instances in Aug 2026"
17,192.168.1.155,N/A,N/A,Critical - Instance Down(Other),"04- Instances in Jul 2026, 61- Instances in Aug 2026"
18,192.168.1.156,N/A,N/A,Critical - Instance Down(Other),"06- Instances in Jul 2026, 04- Instances in Aug 2026"
19,192.168.1.159,455.64 GB,240.58 GB,52%(Disk),"239- Instances in Jul 2026, 117- Instances in Aug 2026"
20,192.168.1.159,62.26 GB,37.36 GB,60%(Memory),12- Instances in Jul 2026
21,192.168.1.159,62.26 GB,40.47 GB,65%(Memory),07- Instances in Jul 2026
22,192.168.1.159,N/A,N/A,Critical - Instance Down(Other),"69- Instances in Jul 2026, 30- Instances in Aug 2026"
23,192.168.1.160,N/A,N/A,Critical - Instance Down(Other),"16- Instances in Jul 2026, 14- Instances in Aug 2026"
24,192.168.1.161,292.97 GB,146.48 GB,50%(Disk),"279- Instances in Jul 2026, 102- Instances in Aug 2026"
25,192.168.1.161,292.97 GB,175.78 GB,60%(Disk),09- Instances in Jul 2026
26,192.168.1.161,N/A,N/A,Critical - Instance Down(Other),"56- Instances in Jul 2026, 33- Instances in Aug 2026"
27,192.168.1.165,N/A,N/A,Critical - Instance Down(Other),"04- Instances in Jul 2026, 06- Instances in Aug 2026"
28,192.168.1.171,109.99 GB,65.99 GB,60%(Memory),83- Instances in Jul 2026
29,192.168.1.171,109.99 GB,71.49 GB,65%(Memory),12- Instances in Jul 2026
30,192.168.1.171,N/A,N/A,Critical - Instance Down(Other),"10- Instances in Jul 2026, 04- Instances in Aug 2026"
