Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
30:July:2026 00:01:39,Critical 50% - Disk,172.16.0.246,Stoxkart-Class-Backup-Office,DBA-Team,Critical,Disk,32 Core,,2.00 TB,F:,1.00 TB,1.00 TB
30:July:2026 00:01:39,Critical 50% - Disk,172.16.0.87,StoxKart-Class-Database-Production-HA,DBA-Team,Critical,Disk,32 Core,,2.00 TB,J:,1.00 TB,1.00 TB
30:July:2026 00:01:39,Critical 50% - Disk,172.16.0.246,Stoxkart-Class-Backup-Office,DBA-Team,Critical,Disk,32 Core,,2.50 TB,E:,1.25 TB,1.25 TB
30:July:2026 00:02:51,Critical 50% - Disk,192.168.176.158,LAMA-Stoxkart-XTS,LAMA,Critical,Disk,24 Core,,600.00 GB,D:,295.14 GB,304.86 GB
30:July:2026 00:03:28,Critical 50% - Disk,172.16.1.23,SMC-Stoxkart-DB-SRV,DBA-Team,Critical,Disk,16 Core,,3.15 TB,E:,1.57 TB,1.57 TB
30:July:2026 00:04:13,Critical 50% - Disk,192.168.1.161,Stoxkart-Odin-Connect,Product-team,Critical,Disk,16 Core,,292.97 GB,D:,146.48 GB,146.48 GB
30:July:2026 00:06:39,Critical 90% - Disk,172.16.0.233,MarketMojoDB-2,Marketing-Tech,Critical,Disk,16 Core,,291.05 GB,/home,29.10 GB,261.94 GB
30:July:2026 00:06:39,Critical 50% - Disk,172.16.0.217,ClassSmc-ClassStk,DBA-Team,Critical,Disk,12 Core,,253.90 GB,D:,126.95 GB,126.95 GB
30:July:2026 00:06:39,Critical 50% - Disk,172.16.3.170,XHawkeye,DBA-Team,Critical,Disk,N/A,,199.40 GB,C:,99.70 GB,99.70 GB
30:July:2026 00:11:39,Critical 50% - Disk,172.16.0.246,Stoxkart-Class-Backup-Office,DBA-Team,Critical,Disk,32 Core,,2.00 TB,J:,1.00 TB,1.00 TB
30:July:2026 00:11:39,Critical 50% - Disk,172.16.0.87,StoxKart-Class-Database-Production-HA,DBA-Team,Critical,Disk,32 Core,,1.50 TB,G:,767.99 GB,767.99 GB
30:July:2026 00:11:39,Critical 50% - Disk,172.16.0.246,Stoxkart-Class-Backup-Office,DBA-Team,Critical,Disk,32 Core,,1.50 TB,G:,767.99 GB,767.99 GB
30:July:2026 00:13:28,Critical 50% - Disk,172.16.1.23,SMC-Stoxkart-DB-SRV,DBA-Team,Critical,Disk,16 Core,,3.15 TB,E:,1.57 TB,1.57 TB
30:July:2026 00:16:39,Critical 50% - Disk,172.16.0.247,Stoxkart-Citrus,DBA-Team,Critical,Disk,16 Core,,1.25 TB,F:,639.99 GB,639.99 GB
30:July:2026 00:21:39,Critical 50% - Disk,172.16.0.247,Stoxkart-Citrus,DBA-Team,Critical,Disk,16 Core,,499.98 GB,G:,249.99 GB,249.99 GB
30:July:2026 00:23:25,Critical 50% - Disk,172.16.0.139,alertmanager,Optimum,Critical,Disk,16 Core,,292.97 GB,E:,146.48 GB,146.48 GB
