Date,Alert Name,Asset,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
01:July:2025 00:01:49,Critical 90% - Disk,CA,172.16.0.182,Talisma,Talisma_CRM,Critical,Disk,24 Core,,1.75 TB,I:,178.77 GB,1.57 TB
01:July:2025 00:06:49,Critical 90% - Disk,CA,172.16.0.182,Talisma,Talisma_CRM,Critical,Disk,24 Core,,1.75 TB,I:,178.77 GB,1.57 TB
01:July:2025 00:10:20,Critical 90% - Disk,,172.16.1.23,SMC-Stoxkart,DBA-Team,Critical,Disk,N/A,,N/A,I:,"91.76GB 
  ServerDetails",90.00%
01:July:2025 00:12:35,Critical 90% - Disk,,172.16.0.210,SQL,Subscription,Critical,Disk,8 Core,,53.64 GB,F:,5.36 GB,48.28 GB
01:July:2025 00:15:49,Critical 90% - Disk,CA,172.16.0.182,Talisma,Talisma_CRM,Critical,Disk,24 Core,,1.75 TB,I:,178.77 GB,1.57 TB
01:July:2025 00:16:45,Critical 90% - Disk,,172.16.12.100,File,Infra-Team-File,Critical,Disk,N/A,,N/A,E:,"90.14GB 
  ServerDetails",90.00%
01:July:2025 00:28:05,Critical 90% - Disk,,172.16.0.160,Finvest_DB,DBA-Team,Critical,Disk,8 Core,,1.07 TB,D:,110.00 GB,990.00 GB
01:July:2025 00:30:05,Critical 90% - Disk,CA,172.16.0.166,Smc,DBA-Team,Critical,Disk,16 Core,,2.00 TB,E:,204.80 GB,1.80 TB
01:July:2025 00:30:49,Critical 90% - Disk,CA,172.16.0.182,Talisma,Talisma_CRM,Critical,Disk,24 Core,,1.75 TB,I:,178.77 GB,1.57 TB
01:July:2025 00:35:49,Critical 90% - Disk,CA,172.16.0.182,Talisma,Talisma_CRM,Critical,Disk,24 Core,,1.75 TB,I:,178.77 GB,1.57 TB
01:July:2025 00:37:41,Critical 90% - Memory,CA,172.16.0.251,Komal_System,Infra-Team,Critical,Memory,N/A,N/A,,,N/A,93.20%
