Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
01:April:2025 10:00:00,WindowsServerDiskSpaceUsage,10.111.66.120,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,0.10 GB,D:,0.01 GB,0.09 GB
02:April:2025 10:00:00,LinuxServerRootDiskSpace,172.16.5.63,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,8 Core,,456.59 GB,/,22.83 GB,433.76 GB
03:April:2025 10:00:00,WindowsServerMemoryUsage,172.16.0.91,DR-Trading-Systems,HR,Critical 95%,Memory,4 Core,7.39 GB,,,0.37 GB,7.02 GB
04:April:2025 10:00:00,WindowsServerCpuUsage,172.16.5.61,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
05:April:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.5.62,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,3.81 GB,D:,0.38 GB,3.43 GB
06:April:2025 10:00:00,LinuxServerRootDiskSpace,172.16.5.66,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,2 Core,,177.05 GB,/,8.85 GB,168.20 GB
07:April:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.143,DR-Trading-Systems,HR,Critical 95%,Memory,8 Core,31.26 GB,,,1.56 GB,29.70 GB
08:April:2025 10:00:00,WindowsServerCpuUsage,172.16.1.99,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,4 Core,,,,2.00%,98.00%
09:April:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.2.217,STX-Focus,BackOffice,Critical 90%,Disk,4 Core,,80.15 GB,D:,8.02 GB,72.14 GB
10:April:2025 10:00:00,LinuxServerRootDiskSpace,172.16.1.93,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,47.93 GB,/,2.40 GB,45.53 GB
11:April:2025 10:00:00,WindowsServerMemoryUsage,172.16.2.213,DR-Trading-Systems,HR,Critical 95%,Memory,8 Core,15.72 GB,,,0.79 GB,14.93 GB
12:April:2025 10:00:00,WindowsServerCpuUsage,172.16.4.4,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
13:April:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.4.3,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,97.87 GB,D:,9.79 GB,88.08 GB
14:April:2025 10:00:00,LinuxServerRootDiskSpace,172.16.1.172,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,8 Core,,87.00 GB,/,4.35 GB,82.65 GB
